ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado
8772,37,04/12/2024,21:30,Internacional,Botafogo-RJ,4-2-2-2,4-2-3-1,R. Machado Marques,A. Torres Gomes Araújo Amorim,Botafogo-RJ,Estádio Beira-Rio,0,1,RS,RJ
8773,37,04/12/2024,21:30,Cruzeiro,Palmeiras,4-3-2-1,4-2-3-1,F. Diniz Silva,A. Moreira Ferreira,Palmeiras, Mineirão,1,2,MG,SP
8775,37,05/12/2024,20:00,Athletico-PR,Bragantino,4-2-3-1,4-2-3-1,L. González,F. Seabra,Bragantino,Ligga Arena,1,2,PR,SP
8774,37,05/12/2024,20:01,Fluminense,Cuiaba,4-2-3-1,4-2-3-1,L. Venker de Menezes,B. Franco,Fluminense, Maracanã,1,0,RJ,MT
8777,38,08/12/2024,16:04,Juventude,Cruzeiro,4-2-3-1,4-2-3-1,F. Matias,F. Diniz Silva,Cruzeiro, Alfredo Jaconi,0,1,RS,MG
8778,38,08/12/2024,16:04,Bahia,Atletico-GO,4-2-3-1,4-1-4-1,R. Ceni,A. Gomes,Bahia,Arena Fonte Nova,2,0,BA,GO
8779,38,08/12/2024,16:04,Flamengo,Vitoria,4-4-2,4-3-3,F. Luís,T. Carpini Barbosa,-, Maracanã,2,2,RJ,BA
8781,38,08/12/2024,16:04,Atletico-MG,Athletico-PR,4-3-3,4-3-2-1,L. Gonçalves,L. González,Atletico-MG,Arena MRV,1,0,MG,PR
8782,38,08/12/2024,16:04,Botafogo-RJ,Sao Paulo,,,A. Torres Gomes Araújo Amorim,L. Zubeldía,Botafogo-RJ,Estádio Nilton Santos,2,1,RJ,SP
8783,38,08/12/2024,16:04,Cuiaba,Vasco,4-3-3,4-3-2-1,B. Franco,F. Loureiro,Vasco,Arena Pantanal,1,2,MT,RJ
8784,38,08/12/2024,16:04,Palmeiras,Fluminense,4-2-3-1,4-2-3-1,A. Moreira Ferreira,L. Venker de Menezes,Fluminense,Allianz Parque,0,1,SP,RJ
8776,38,08/12/2024,16:05,Fortaleza,Internacional,4-2-3-1,4-1-2-1-2,J. Vojvoda,R. Machado Marques,Fortaleza,Arena Castelão,3,0,CE,RS
8780,38,08/12/2024,16:05,Bragantino,Criciuma,4-2-3-1,4-1-2-1-2,F. Seabra,C. Tencati,Bragantino,Nabizão,5,1,SP,SC
8785,38,08/12/2024,16:05,Gremio,Corinthians,4-4-2,4-3-1-2,Renato Gaúcho,R. Díaz,Corinthians,Arena do Grêmio,0,3,RS,SP
